0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,8.409999999999999698e-01,5.400000000000000355e-01,0.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+00,9.090000000000000302e-01,-4.159999999999999809e-01,6.929999999999999494e-01
3.000000000000000000e+00,6.000000000000000000e+00,1.409999999999999865e-01,nan,nan
4.000000000000000000e+00,8.000000000000000000e+00,-7.570000000000000062e-01,-6.540000000000000258e-01,nan
5.000000000000000000e+00,1.000000000000000000e+01,-9.589999999999999636e-01,2.839999999999999747e-01,1.608999999999999986e+00
6.000000000000000000e+00,1.200000000000000000e+01,-2.790000000000000258e-01,9.599999999999999645e-01,1.792000000000000037e+00
7.000000000000000000e+00,1.400000000000000000e+01,6.570000000000000284e-01,7.540000000000000036e-01,1.945999999999999952e+00
8.000000000000000000e+00,1.600000000000000000e+01,9.889999999999999902e-01,-1.459999999999999909e-01,2.079000000000000181e+00
9.000000000000000000e+00,1.800000000000000000e+01,4.119999999999999774e-01,-9.110000000000000320e-01,nan
1.000000000000000000e+01,3.000000000000000000e+01,-5.440000000000000391e-01,-8.389999999999999680e-01,nan
1.100000000000000000e+01,2.200000000000000000e+01,-1.000000000000000000e+00,4.000000000000000083e-03,nan
nan,2.400000000000000000e+01,-5.370000000000000329e-01,8.439999999999999725e-01,nan
1.950000000000000000e+01,2.600000000000000000e+01,4.199999999999999845e-01,9.070000000000000284e-01,nan
1.400000000000000000e+01,2.800000000000000000e+01,9.909999999999999920e-01,1.370000000000000107e-01,nan
1.500000000000000000e+01,3.000000000000000000e+01,6.500000000000000222e-01,nan,nan
1.600000000000000000e+01,3.200000000000000000e+01,-2.879999999999999782e-01,-9.579999999999999627e-01,nan
1.700000000000000000e+01,3.400000000000000000e+01,nan,nan,nan
1.800000000000000000e+01,3.600000000000000000e+01,nan,nan,2.890000000000000124e+00
1.900000000000000000e+01,5.700000000000000000e+01,nan,nan,2.943999999999999950e+00
2.000000000000000000e+01,4.000000000000000000e+01,nan,nan,2.995999999999999996e+00
2.100000000000000000e+01,4.200000000000000000e+01,nan,nan,nan
2.200000000000000000e+01,4.400000000000000000e+01,-8.999999999999999320e-03,nan,3.091000000000000192e+00
2.300000000000000000e+01,4.600000000000000000e+01,nan,nan,3.134999999999999787e+00
2.400000000000000000e+01,4.800000000000000000e+01,-9.060000000000000275e-01,4.239999999999999880e-01,3.177999999999999936e+00
2.500000000000000000e+01,5.000000000000000000e+01,-1.320000000000000062e-01,9.909999999999999920e-01,3.218999999999999861e+00
2.600000000000000000e+01,5.200000000000000000e+01,7.630000000000000115e-01,6.470000000000000195e-01,3.258000000000000007e+00
2.700000000000000000e+01,5.400000000000000000e+01,9.559999999999999609e-01,-2.919999999999999818e-01,3.295999999999999819e+00
2.800000000000000000e+01,nan,2.710000000000000187e-01,-9.629999999999999671e-01,3.331999999999999851e+00
2.900000000000000000e+01,5.800000000000000000e+01,-6.640000000000000346e-01,-7.479999999999999982e-01,3.366999999999999993e+00
3.000000000000000000e+01,6.000000000000000000e+01,-9.879999999999999893e-01,1.539999999999999980e-01,3.400999999999999801e+00
3.100000000000000000e+01,9.300000000000000000e+01,-4.040000000000000258e-01,9.150000000000000355e-01,3.434000000000000163e+00
3.200000000000000000e+01,6.400000000000000000e+01,5.510000000000000453e-01,8.339999999999999636e-01,7.798000000000000043e+00
3.300000000000000000e+01,6.600000000000000000e+01,1.000000000000000000e+00,-1.299999999999999940e-02,3.496999999999999886e+00
3.400000000000000000e+01,6.800000000000000000e+01,5.290000000000000258e-01,-8.489999999999999769e-01,3.525999999999999801e+00
3.500000000000000000e+01,nan,-4.279999999999999916e-01,-9.040000000000000258e-01,3.555000000000000160e+00
3.600000000000000000e+01,1.080000000000000000e+02,-9.919999999999999929e-01,-1.280000000000000027e-01,nan
